profile name,profile contributions,profile helpful votes,review title,rating,review,date of stay,trip category
Chris T,81,28,Afternoon Tea - a great experience,[5.0],"Our daughters booked Afternoon Tea at The Ritz for us to celebrate our 30th Wedding Anniversary. It lived up to our expectations, the building was wonderful & the staff welcoming. There was a great atmosphere with a pianist playing nearby. The tea itself was beautify prepared & tasted great. A fantastic afternoon had by all.  ", February 2016,nan
Sarah M,28,11,Afternoon Tea,[5.0],"Beautiful environment, with the most wonderful Christmas theme. Perfect place to relax and get in the festive spirit. Endless top ups of tea and cake. The sandwiches were fresh and good selection of flavours. Delicious scones and jam. Can't wait to do it again next Christmas! ", December 2015,nan
iain r,4,3,amazing,[5.0],This was a bucket list hotel that I wanted to stay at the staff were extremely professional and courteous . check in was fast and efficient . I was lucky to receive an upgraded room on my arrival . The Rivoli bar is worth a visit for the experience alone . I had breakfast in the restaurant which was excellent and I felt worth the money. The rooms are spacious and extremely clean as was the bathroom .if given the opportunity I would stay at the hotel again, February 2016,nan
paul r,56,20,A special treat.,[5.0],"If you want a special treat and this was bought by our daughters for my wife's 60th you must go to the Ritz for a short break, there are special deals available so check their site,Well there is nothing negative i can say about my wife and i's stay it has all the glory and pamper you will ever need and we finished it off with afternoon tea.The staff were outstanding always on hand with a smile when required i can't wait to be pampered again.Thank you all again at Ritz for a wonder time.", February 2016,nan
Sarah X Berry,43,13,This place makes you proud to be British,[5.0],Consistantly stunning. Staff are always on hand to exceed expectation and do so with a smile. The Ritz should give a lesson to all businesses that customer service is key and that there is never a time to let standards slip.  Thank you once again, February 2016,nan
Kevin D,757,555,A night to remember,[5.0],A experience everyone should try and do in their life time. Stay the with the Sunday night special where your get a full meal in the restaurant and breakfast and one nights stay. A great treat for a couple., March 2015,nan
Petronius4,15,10,It's the Ritz!,[5.0],"Still one of the best hotels in the world. I celebrated my 50th birthday here with friends and family and had a fantastic time. Old world service from the staff, butlers on hand and a dress code that harks back to a time before the war. Great cocktail bar and of course afternoon tea is an event in itself. Fantastic weekend in the lap of luxury.", May 2015,nan
Avivadarling,18,8,Feel like a princess,[5.0],The Moment we arrived at the Ritz my sister and I were treated like royalty! Every member of the staff was so attentive and friendly it was a real joy! The hall porters are magnificient! The service at the Ritz is state of the art and every little detail is taken into account. Throughout our stay we felt very comfortable and welcome and were sad we had to leave after only two nights. Will return for sure!! Definitely one of my favourite hotels I have ever been., February 2016,nan
Althea D,111,29,Celebratory brunch!,[5.0],"We wanted somewhere to have a late breakfast in Central London and couldn't have chosen better. The reception and restaurant itself is glorious but actually quite understated  and worth going just to see if not to eat. Service was excellent - not obtrusive and the breakfast delicious, and surprisingly not overly priced for such a well renowned London hotel. All the staff were charming and helpful", February 2016,nan
Phill V,25,18,Just Crackers about the Ritz,[5.0],"Our daughter Victoria gave my wife and I a Christmas present in 2014 of a voucher that entitled us to ""Lunch for two at the Ritz"". We decided to go for my birthday the following October. What a wonderful day it was!  We decided to drive to London from Coventry and make a day of it. After doing a bit of homework we found that parking the car at the Ritz 'preferred car park' and even paying for the congestion charge we wouldn't be that much out of pocket compared to going by train...then tube and all the hassle that brings with it etc.  The satnav found the entrance to the Ritz easily enough and the man in the tails and top hat on the door took our car keys slipped us a chit and went off to park the car while we soaked up the atmosphere of one of the best hotels in the world.  We…", October 2015,nan
